isimler,linkler,tarihler,aciklamalar
Beyaz Gelincik,https://www.imdb.com/title/tt0482653/?ref_=sr_t_657,2005–2007,"Four brothers, one of the richest in Adana, live in a farmhouse. When Ceren, an agricultural engineer, comes to the region, the secrets of the past begin to emerge."
Sultan,https://www.imdb.com/title/tt7989084/?ref_=sr_t_658,2001,"Sultan escapes from home without the resignation of his father and marries Sahin. The woman who was in love with all her innocence at the age of 18 loses Sahin that day. But 15 years without knowing what she lost, she waits at home her husband. She is a part of the world of Sahin, and Sahin is the whole world of the Sultan."
Cille,https://www.imdb.com/title/tt26218056/?ref_=sr_t_659,2011–2019,"A small group of humans must race against the spies of another race in their land. If they fail to collect powerful magical beasts called ""cilles"" before the Ezaki spies do, a devastating war will begin."
Hayat Sevince Güzel,https://www.imdb.com/title/tt5910604/?ref_=sr_t_660,2016,Two brothers fall in love with a girl from a village who does not believe in love.
Yasak,https://www.imdb.com/title/tt3667262/?ref_=sr_t_661,2014,"One of the leading figures of the community, Nazim Bey, expects his children to grow up after he loses his wife. While everyone waits for his to marry someone from his community life, he falls in love with the youth and beauty of Calibe, the daughter of a civil servant. Calibe, along with her beauty, ambitions, dreams and aims to reach the new life targets."
Dayton,https://www.imdb.com/title/tt27694624/?ref_=sr_t_662,2023– ,"On the one hand, Alija works to hold together and rebuild war-torn Bosnia. On the other hand, we witness the struggle of a family torn apart by the genocide in the brutal conditions of the war."
Metamorfoz: Kirilma,https://www.imdb.com/title/tt27250379/?ref_=sr_t_663,2023– ,"Teoman is a revolutionary militant. With the death of his father, he takes over family holding and transforms into a corrupt capitalist. Teoman is in a metamorphosis. But the reason is unknown. Someone will want to solve this mystery."
Eee Sonra?,https://www.imdb.com/title/tt14518948/?ref_=sr_t_664,2021,"""Eee Sonra?"" is a Youtube series, each episode of which is approximately eight minutes long, about tactics in male-female relationships."
Ask Yalani Sever,https://www.imdb.com/title/tt8025014/?ref_=sr_t_665,2016,"The last wish of Hüseyin Kocoglu in the death row is the presence of his grandson, Ece, whom he had not owned many years ago. Ferit, the other grandson who does not put his hand behind him to realize this wish, can not find Ece. However, events will not eventually evolve as Ferit, who is willing to accept his grandfather's idea of finding a false grandson."
Hayatimin Nesesi,https://www.imdb.com/title/tt28146056/?ref_=sr_t_666,2023,"A happy but unfulfilled housewife, Nese, decides to go back and finish studying medicine after leaving university life for her family and children, returning to the faculty after years."
Es-Es,https://www.imdb.com/title/tt3180954/?ref_=sr_t_667,2009,"Uras, grew up in the neighborhood edge. He came to Eskisehir for university. Here it is told they live."
Masum Degiliz,https://www.imdb.com/title/tt7984742/?ref_=sr_t_668,2018,"Three close friends who have not left since high school; Mert, Emir and Volkan. On the day of Mert's engagement, they are confronted with a great event, including Mert's fiance's brother, Umut. And this event will change the life of all of them. After that day, there is a secret that every one has to keep, they have to protect."
Elkizi,https://www.imdb.com/title/tt15281706/?ref_=sr_t_669,2021–2022,"Fighting for her dreams, Ezo has two things to hold on to in this life; memories and what's left of her mother - So a handful of hope. However, everything he has in his hand is taken away at once by his family, to whom he is persecuted. Ezo has two ways. He will either give up or fight."
Kim Milyoner Olmak Ister?,https://www.imdb.com/title/tt7663950/?ref_=sr_t_670,2000– ,
Zil Çalinca,https://www.imdb.com/title/tt4134870/?ref_=sr_t_671,2012,Adventures of 10 best friends during break time at school.
Tarcin ve Arkadaslari,https://www.imdb.com/title/tt8176048/?ref_=sr_t_672,2003,The adventures of Tarchin and his friends who live in the forest of Chinchines.
Zerda,https://www.imdb.com/title/tt0421488/?ref_=sr_t_673,2002–2004,"Zerda is in love with the landowner heir, Shahin. The traditions that Shahin belongs to bring him face to face with his great love, Zerda, an indomitable spirit. Zerda suddenly finds herself between Shahin and his other 2 wives."
Bir Deli Sevda,https://www.imdb.com/title/tt8552288/?ref_=sr_t_674,2017,"Bahar lives with his mother Nermin in Telli Kavak, one of the edge of Istanbul. Bahar thinks her father is dead. Bahar's only goal is to offer a better life to her sick mother. Bahar comes from ignoring the love of her friend Kemal to herself and falls in love with Mehmet who has never met an unexpected moment."
Besinci Boyut,https://www.imdb.com/title/tt11056524/?ref_=sr_t_675,2005–2009,
Adı Efsane,https://www.imdb.com/title/tt6550350/?ref_=sr_t_676,2017,Tarik Aksoy who once was a legend in basketball tries to make life work after his wife passing away. His daughters Melis and Zeynep
Kalk Gidelim,https://www.imdb.com/title/tt7661056/?ref_=sr_t_677,2017–2020,"Mustafa Ali, the bankrupt company that he owns, has to keep his way to the village with his wife and children. But Mustafa Ali's wife and children do not know that they are bankrupt, and they think they are going to a holiday. What kind of amazement will Mustafa Ali, who has never called his family during his time as he was wealthy, returned to his family?"
Mavi Rüya,https://www.imdb.com/title/tt5299818/?ref_=sr_t_678,2004–2006,"A dynasty that pursues immortality, and the struggle of Zeynep and her family fighting against this dynasty."
Yemin,https://www.imdb.com/title/tt1163168/?ref_=sr_t_679,2007–2008,Two women in love with the same man and two men in love with the same woman. The story of lives broken by an oath.
Acemi Cadi,https://www.imdb.com/title/tt0834012/?ref_=sr_t_680,2006–2007,A teenage girl (Aysegul) who lives with her aunts discovers that she and the rest of her family have superpowers. Aysegul is in a love triangle between the bad boy Toygar and the good boy Selim.
Sen Benimsin,https://www.imdb.com/title/tt4901210/?ref_=sr_t_681,2015,"Ejder and Nagme fell in love and decided to marry, unaware that both families would never accept the marriage. From the moment she steps onto Ejder's family's ranch, Nagme realizes there is a sad story behind every door."
Tolgshow,https://www.imdb.com/title/tt7827112/?ref_=sr_t_682,2017–2021,"Until now, the director is endless and often trying to fulfill absurd requests without any text in his hand, Tolga Cevik opens the rebellion flag and takes the yarn by hand. 'Tolgshow' which will host a famous guest at the new season is also very cheerful, again very funny and also improvising every moment."
Gunebakan,https://www.imdb.com/title/tt7586036/?ref_=sr_t_683,2015,"Ruzgar a parachute teacher is soon to be married to the mayors spoiled, trickster daughter. Ruzgars old childhood friend, Günce has returned to town in the middle of their wedding day. Suspense is happening. When is love."
Pavyon,https://www.imdb.com/title/tt10583308/?ref_=sr_t_684,2019–2021,"Although the pavilions operating under the name of casinos, taverns and entertainment centers meet approximately 80% of the Ankara entertainment sector and feed the provincial economy remarkably, they are not widely accepted as legitimate and acceptable by the dramatic sayings created by the legendary cliches."
Duran,https://www.imdb.com/title/tt15299654/?ref_=sr_t_685,2022,"The common goal of Duran, Celal and Mustafa is to find a way to get rid of the suburban neighborhood they live in as soon as possible. Duran wants to win the Muay Thai tournament and become a wealthy and famous fighter. Celal starts working on a rap composition after his unsuccessful attempts."
Zoraki Koca,https://www.imdb.com/title/tt1059255/?ref_=sr_t_686,2007–2008,"Rich and spoiled Ömer makes a bet on difficult girl, Ayse. He finds himself married to Ayse. Running away doesn't work anymore."
Hanim Köylü,https://www.imdb.com/title/tt21245504/?ref_=sr_t_687,2016,"Gulsim ali ilkone lives in a small village get to know Farid ""Yusuf cim"" lives in the city Istanbul and the love each other , Farid tries to talk to her but she runs away so he follows her to her village that happened to be his old village that he is born in & many secrets are revealed there ."
Firtina,https://www.imdb.com/title/tt0845192/?ref_=sr_t_688,2006–2007,The passionate love story between Ali and Zeynep in one of Trabzon's villages.
Sayin bakanim,https://www.imdb.com/title/tt0426680/?ref_=sr_t_689,2004–2005,"A Turkish remake of the British series called ""Yes, Minister"" created by Jonathon Lynn and Anthony Jay."
Alev Alev,https://www.imdb.com/title/tt23986392/?ref_=sr_t_690,2012– ,"The story of 4 people in love, full of revenge and ambition."
Ömre Bedel,https://www.imdb.com/title/tt1592295/?ref_=sr_t_691,2009–2011,"Ömür receives a terrible threat on her wedding day from Cesur, her sister's obsessed lover. Either she gives him a baby or her husband dies. She has to pay the price for her sister's wrong."
Askim Askim,https://www.imdb.com/title/tt0449684/?ref_=sr_t_692,2001–2002,"Zumrut and Sener are a couple of middle ages running a restaurant. They live in the house on the top floor of the restaurant. Sener keeps going on his profligacy even though his wife loves Zumrut and does not hesitate. On the other hand, there will be sweet competition between the Japanese chef Makiko and the new chef Hadise in the restaurant's kitchen."
Kırık Kanatlar,https://www.imdb.com/title/tt0781891/?ref_=sr_t_693,2006–2007,"An impossible love story in a town in the Aegean, during the years of the Turkish War of Independence and the proclamation of the Republic."
Orta Kafa Ask,https://www.imdb.com/title/tt15404360/?ref_=sr_t_694,2021–2022,"The beginning of Semih and Selin's relationship, the problems they experienced, their separation, and their dating are discussed with the presentation of two football commentators."
Bir Çocuk Sevdim,https://www.imdb.com/title/tt3241162/?ref_=sr_t_695,2011–2012,A young girl excluded by her family will be protected by a grown man.
Kefaret,https://www.imdb.com/title/tt13021414/?ref_=sr_t_696,2020–2021,"Zeynep is a high school teacher. She has a perfect life with her husband, Dr. Ahmet and her children, Can and Elif. Zeynep's life destroys when her daughter get lost and she becomes very upset for this happening and understands a lot of secrets about her family members and friends."
Yoktan Seçmeli,https://www.imdb.com/title/tt14369292/?ref_=sr_t_697,,"The series, which is the first episode of all 9 episodes and the audience can start watching from every episode with the 10th episode finale, deals with the relationships between men and women in a humorous language."
Aptal Çocuklar,https://www.imdb.com/title/tt12171672/?ref_=sr_t_698,2020,
Kizlarim Için,https://www.imdb.com/title/tt7703992/?ref_=sr_t_699,2017–2018,The life story of a father and his five daughters.
Kursun Yarasi,https://www.imdb.com/title/tt0421382/?ref_=sr_t_700,2003–2005,"Halil, who started smuggling in order to change his sister's fate in the Aegean in the 1900s, will turn from a simple peasant trying to earn his living to a warrior who will become the lover of the people with his fair personality."
Dayi Show,https://www.imdb.com/title/tt15404408/?ref_=sr_t_701,2021– ,"Talk show is talk show. Uncle, the youngest of the puppets, is coming with his own live talk show - Crazy fun with famous guests and Pandami Music. Whether you watch it live or when you feel like it."
Ask ve Umut,https://www.imdb.com/title/tt21922096/?ref_=sr_t_702,2022– ,"Zeynep, who worked under difficult conditions in Edremit and prepared for the university exam, finally became the fifth in Turkey and won the law department of the university of her choice. Zeynep, who dreams of moving to Istanbul with her mother to go to university, is unaware of the misfortune of her mother Gönül."
Yüzlesme,https://www.imdb.com/title/tt9667744/?ref_=sr_t_703,2019,"In the story of Kalender Town, which is famous for its flower cultivation and essence production, the events of the past, the secrets come out one by one, while in the town nothing will be the same as before."
Analar ve Anneler,https://www.imdb.com/title/tt5178772/?ref_=sr_t_704,2015,Drama turkey about young mothers Mother give birth a baby and other upbringing in love..and after years who's belong thes baby ?
Emret Komutanim,https://www.imdb.com/title/tt0491519/?ref_=sr_t_705,2005–2008,The stories of Turkish soldiers making their mandatory military service.
Esref Saati,https://www.imdb.com/title/tt1147696/?ref_=sr_t_706,2007–2008,"Esref Saati tells the story of two stubborn braves who fell in love with each other's sisters. The story of Sari Esref and Kara Esref, two bullies born in the same neighborhood, who never agree but can not leave at all."
Kizim Nerede,https://www.imdb.com/title/tt1825375/?ref_=sr_t_707,2010–2011,"One of the most important businessmen in Turkey, Zafer Demiray has everything that he could ever have imagined: a successful company and a big happy family.. One night, after his birthday celebration, Zafer drops his daughter Zeynep and her three cousins to a nightclub."
Son Yaz - Balkanlar 1912,https://www.imdb.com/title/tt2256510/?ref_=sr_t_708,2012,"The process from the Balkan War to the Canakkale War. The story of a people who fought to live brothers and sisters, resisted for the sake of their lands, and forced to emigrate from their hometowns."
Pepee,https://www.imdb.com/title/tt6764378/?ref_=sr_t_709,2008–2015,"Pepee is a 5 year old boy living with his loving family and friends in endless green fields. During his daily little adventures, Pepee learns shapes, colours, numbers... With his cute little sister Bebee, cousin Shila, grandparents, giraffe and monkey friends, he discovers the emotions and learns how to deal with them."
Belali Baldiz,https://www.imdb.com/title/tt0479318/?ref_=sr_t_710,2005–2006,"Dilek, a down-to-earth, happily married mom of three, had her tidy world up-ended by the arrival of her celebrity sister, Arzu. Dilek and her husband, Faruk will find new parenting challenges as Arzu tries to influence their three impressionable kids."
Evdeki Yabanci,https://www.imdb.com/title/tt0906924/?ref_=sr_t_711,2000–2002,"Asli meets Eren the day she finds out her boyfriend is married and asks him for a favor to join the dinner with her parents as her ""boyfriend"". Things go out of hand and soon enough, the two find themselves in a bizarre fake relationship."
Yalniz Kalpler,https://www.imdb.com/title/tt25728426/?ref_=sr_t_712,2023– ,"Having lost track of each other after a magical evening in Cappadocia, Ayda and Teoman meet again in Ankara three years later, but Ayda is now with Teoman's cousin Mehmet. A difficult period will begin for Ayda, who is crushed under the pressure of her mother, and Teoman, who is torn between her family and her love. Kumru, on the other hand, tries to provide a good life for her brother Buse, despite the ambitions of her stepmother Fatma and her daughter Nazli. Chief Ozan, who has become obsessed with Nazli, takes a job to take care of his grandmother, which will change Kumru's life in an unexpected way."
Istanbul Hesabi,https://www.imdb.com/title/tt13734876/?ref_=sr_t_713,2020– ,Is it possible to enjoy Istanbul with only 50 TL? Ahmet Mumtaz Taylan goes after the most delicious meals at the best prices.
Kara Yazi,https://www.imdb.com/title/tt6893198/?ref_=sr_t_714,2017,"It is the story of Yaren Ulucinar, the only dream of Mehmet Karahan, who grew up by the physical violence of his lover's father and raised his own cosmetics company and won the appreciation of his father, and the only dream of trying to take care of two sisters and depriving his two sisters because of his father's honor obsession."
aşk Bir Hayal,https://www.imdb.com/title/tt6520688/?ref_=sr_t_715,2009–2011,"The story of an impossible love between Asmin, a Kurdish landowner's daughter and Altay, a Turkish soldier in the Southeast Anatolia."
5'er Beşer,https://www.imdb.com/title/tt2249231/?ref_=sr_t_716,2011,"Instructor Aziz Gungor Esen, who wants to make his courses more interesting, decides to lecture the lesson topics. However, with the inept, pure and ambitious students of your theater club, things become incomprehensible."
Ezo Gelin,https://www.imdb.com/title/tt0924171/?ref_=sr_t_717,2006–2008,The story of the brave and beautiful Ezo who defied customs.
One Way Ticket,https://www.imdb.com/title/tt18949338/?ref_=sr_t_718,,
Ilk Bulusma,https://www.imdb.com/title/tt9356310/?ref_=sr_t_719,2017–2018,"A place full of cameras. A crowded acting team including the waiter, the cook, the bellboy and the cleaner - Two presenters who connect the team from cosmic room via headsets, and a joke-victim - On this sidesplitting show, the person which brings the joke-victim."
Yuvamdaki Düsman,https://www.imdb.com/title/tt7947618/?ref_=sr_t_720,2018,"It tells the story of applying a secret plan in a wealthy, happy, new baby-possessed family, who has been piquant since childhood, dreamed of, and enjoys everything for the sake of her life."
Elveda Derken,https://www.imdb.com/title/tt0991290/?ref_=sr_t_721,2007–2008,A mother who learns she has a deadly illness must find a new mother for her children.
Ah Polis Olsam,https://www.imdb.com/title/tt0872299/?ref_=sr_t_722,2006,Anyone has the chance to become a police officer when the minister of internal affairs devises a plan to pare down the crime rate and reconcile relations between the public and the police.
Survivor All Star,https://www.imdb.com/title/tt8103150/?ref_=sr_t_723,2015,It is organized in the Dominican Republic. It is published 7 days a week. The format of the contest is Survivor: Famous - Volunteer form.
Cinayet,https://www.imdb.com/title/tt3431628/?ref_=sr_t_724,2014,The life of two detectives trying to solve a mysterious murder and the events around them.
Yetis Zeynep,https://www.imdb.com/title/tt13691420/?ref_=sr_t_725,2021,"Zeynep is a 20-year-old college student with dreams, but she has to work as a babysitter to cover her school expenses. She should also hide that she is a student while caring for 6 children"
Elde Var Hayat,https://www.imdb.com/title/tt2835896/?ref_=sr_t_726,2010–2012,Kenan is a teacher who opens new horizons for his students by trying out unorthodox teaching methods. He establishes a new life in Istanbul for his son.
Incir Agaci,https://www.imdb.com/title/tt11039324/?ref_=sr_t_727,2019–2020,"Cemal Ocak tries to support his wife and four children with his auto repair shop. Although his wife Neriman sometimes misleads her children with a dream of a better life, she is the biggest supporter of her husband. For Cemal Ocak, the family is everything, but the problems in the family will be inevitable as the four children with different dreams."
Para Bende,https://www.imdb.com/title/tt8131212/?ref_=sr_t_728,2014–2017,The presenter that won the short game they play in the airport in the country will earn 10 thousand dollars and the lost presenter 100 dollars. Who will better introduce the country they are going to win with the money they earn.
Bizi Ayiran Çizgi,https://www.imdb.com/title/tt13923144/?ref_=sr_t_729,2021,"Sinem dies in a terrorist attack in Istanbul. With the news of Sinem's death, his lover Sinan, who started to break with life and reality day by day, must return to the line that separates him from Sinem and save Sinem."
İki dünya arasında,https://www.imdb.com/title/tt4648716/?ref_=sr_t_730,2012–2015,
Unutulmaz,https://www.imdb.com/title/tt6369678/?ref_=sr_t_731,2009–2011,The tragic and vengeful story of two sisters who fall in love with the same man.
Canevim,https://www.imdb.com/title/tt10319992/?ref_=sr_t_732,2019,"Tells the story of love of a poor orphan man named Maraz Ömer and a poor woman named Ceylan. Two young people who plan marriage plans to work and earn money; Ömer works at the construction site in Kars. Ceylan earns money by cleaning. Ceylan is abused by Taylan, a rich and spoiled young man, and the story begins."
Ask ve Ceza,https://www.imdb.com/title/tt1580811/?ref_=sr_t_733,2010–2011,"When Yasemin, who gave her virginity to a stranger, gets pregnant and realizes that the baby is the heir of a dangerous rich tribe, she gets scared and hides the baby. But she meets the baby's father again."
Kapaliçarsi,https://www.imdb.com/title/tt1688212/?ref_=sr_t_734,2009–2010,Story of three good friends working in Grand Bazaar carpet dealer shop.
Askina Eskiya,https://www.imdb.com/title/tt8727110/?ref_=sr_t_735,2001,The life of a young man who has to live in the mountains because of an impossible love in the southeast of Turkey.
Kalbim Seni Seçti,https://www.imdb.com/title/tt8019298/?ref_=sr_t_736,2011–2012,"Omer Asaf and his family, coming from Istanbul to Mugla for their children's educational life, expect a new city and a very different life. The secrets of Umran, the grand mother of house, who have been hiding for years and whose conscience has not been left untouched, will now emerge."
Komedi Dükkani,https://www.imdb.com/title/tt2710838/?ref_=sr_t_737,2007–2011,"The characters in the program director, actor, pianist and occasional consists of guest players."
Adı: Zehra,https://www.imdb.com/title/tt7843954/?ref_=sr_t_738,2018,"Zehra comes to the world as the daughter of a conservative Turkish family in Frankfurt. The incredible story of Zehra, starting at the home of the poor and enthusiastic family in Germany, and continuing with a rich family of Istanbul with secrets and a terrible crime."
Yangin Günleri Independenta,https://www.imdb.com/title/tt22394746/?ref_=sr_t_739,2023– ,An oil-laden ship explodes in the Bosphorus. This explosion also creates a bomb effect for the lives of its residents living in Kuzguncuk.
Üzgünüm Leyla,https://www.imdb.com/title/tt0421513/?ref_=sr_t_740,2000–2002,"After getting divorce from her husband, who cheated on her, Leyla tries to struggle for her life and her daughter."
Adim Basi Kafe,https://www.imdb.com/title/tt14342244/?ref_=sr_t_741,2021,"Deciding to live life now, three dreamers decide to open a cafe with a small white-collar capital. But this adventure will not go as they expected; because none of them have the slightest experience of running a cafe and this job will be a little more difficult than they anticipated."
Bir Deniz Hikayesi,https://www.imdb.com/title/tt10022066/?ref_=sr_t_742,2015,"Deniz is a small boy who lives in a town with her father and is loved by all. But he feels bad that he grew up without a mother. Deniz's father, Hakan, had a love affair with Zeynep, but life somehow parted them. Therefore, Deniz was left without mother. One day Zeynep comes to this town with her husband Semih and becomes happy when she meets Deniz."
Nasıl Fenomen Oldum,https://www.imdb.com/title/tt16538982/?ref_=sr_t_743,2022– ,"Socialite beauty Ala, who lost everything she had because of her father's business collapse, decides to try her luck on social media and become a phenomenon. However, gaining followers on social media and becoming a phenomenon will not be as easy as she thought."
1 Erkek 1 Kadin 2 Cocuk,https://www.imdb.com/title/tt7972832/?ref_=sr_t_744,2014–2015,"Men and women of all ages address the audience. It ironies with relativity. It goes in the house, in the car, in the shopping, on the vacation, in the sports center, and everywhere imaginable. It tells funny situations that every couple in the world can live."
Bir zamanlar Osmanlı: Kıyam,https://www.imdb.com/title/tt2309099/?ref_=sr_t_745,2012,One of the most important revolts in the Ottoman Empire is the 1729 Patrona Halil Rebellion. It is at a time when Sultan 3. Ahmet was on the throne and his efforts to shift Ottoman relations with Europe from the battlefields to the field of diplomacy were experienced.
Krem,https://www.imdb.com/title/tt2363272/?ref_=sr_t_746,2012–2013,"Follow the life of s young, girl who has the look of a clumsy, yet light hearted girl and an elegant, beautiful model due to a magical cream given to her by a old man. Will she finally learn what side she'll choose?"
Babamin Günahlari,https://www.imdb.com/title/tt7738444/?ref_=sr_t_747,2018,"The story of a father promising to survive for his child. Everyone lives for their child, who can promise not to die?"
Fandom,https://www.imdb.com/title/tt15441312/?ref_=sr_t_748,2021–2022,"Ferda, who kidnapped the screenwriter of her favorite TV series, starts to write new episodes instead of him."
Kafayi Yersin,https://www.imdb.com/title/tt10528036/?ref_=sr_t_749,2019,Sibil and Ahmet will try different flavors they found wandering on all sides of Turkey. Sibil and Ahmet will go to at least 5 different places in each city and taste more than one taste.
Hayalimdeki Dügün,https://www.imdb.com/title/tt13813630/?ref_=sr_t_750,2021,
Türkiye'deki Seri Katiller,https://www.imdb.com/title/tt15747068/?ref_=sr_t_751,2021,"""Orhan Aksoy, the ""Shooter Killer"" Süleyman Aktas, who is remembered as ""Orhan Aksoy"", ""The Kolici Killer"" ""Çumra Canav"" Abdullah Aksoy as ""Çumra Canav"" and the death hunter, the life of Hamdipinar as the prey he killed, the life of Hamdipinar as the inside. 's, ""life from the rock, drink."" , committing a crime and motivation are discussed."
Ayrilik,https://www.imdb.com/title/tt7703986/?ref_=sr_t_752,2009,"Deniz, who learns that the woman he loves will marry his enemy, has two ways; it is either stopping this wedding and deciphering himself against Odalov or allowing the woman he loves to belong to his enemy."
3 Adam,https://www.imdb.com/title/tt10631726/?ref_=sr_t_753,2013–2017,"3 Adam is a talk show program by Eser Yenenler, Ibrahim Büyükak and Oguzhan Koc, who have been very close friends since they were little."
Ask Oyunu,https://www.imdb.com/title/tt0467721/?ref_=sr_t_754,2005,"Sarp is a young handsome man who belongs to society because of his surname. But his father is not pleased of his son's messy life and wants his son get marry to a girl who is choosen by himself. Ekin is a suburban girl, works in a factory. One day Ekin and Sarp's paths cross and they decide to make a marriage by agreement."
Nomen,https://www.imdb.com/title/tt19496072/?ref_=sr_t_755,,
Kagit Ev,https://www.imdb.com/title/tt14265894/?ref_=sr_t_756,2021,"A perfect family who lives a happy life that everyone is envious of. But one misunderstanding was enough to ruin their lives, and now they have to risk everything."
Yiyecegin Serüveni,https://www.imdb.com/title/tt11144886/?ref_=sr_t_757,2019–2021,"The Adventure of Food reveals all the production stages of a food, how it is produced and how it reaches our table."
Beyaz Karanfil,https://www.imdb.com/title/tt7172256/?ref_=sr_t_758,2014,"Zulfu is the gardener of Osman, who is a rich network. Osman is one of the strongest names in the drug market. Zulfu, who was imprisoned for Osman, takes action to get his revenge when the punishment is over."
Hayat Yolunda,https://www.imdb.com/title/tt6369486/?ref_=sr_t_759,2014–2015,A man decides to form a team to save the hospital from sinking. Five doctors and five different lives who came together from different parts of Turkey.
Tugay Inanoglu ve Dostlari,https://www.imdb.com/title/tt13718106/?ref_=sr_t_760,2021,The healing processes of animals struggling with diseases are explained.
Fırıldak Ailesi,https://www.imdb.com/title/tt6512362/?ref_=sr_t_761,2013–2016,The satiric adventures of a Turkish family in the metropolitan city of Istanbul.
Doya Doya Moda,https://www.imdb.com/title/tt12971874/?ref_=sr_t_762,2019– ,
Hayat Devam Ediyor,https://www.imdb.com/title/tt2087193/?ref_=sr_t_763,2011–2013,"The tragic story of 15-year-old Hayat, who had to become the second wife of a 70-year-old man, and each member of her family."
Aynali Tahir,https://www.imdb.com/title/tt0221731/?ref_=sr_t_764,1998–2001,"Aynali Tahir is a person trying to maintain order with a group of friends in his neighborhood. His biggest opponent is Tilki Ekrem. Since Tahir shot Tilki and entered jail, the control of the neighborhood is now in Tilki. The whole neighborhood thinks that Tahir should come out of prison as soon as possible and make Tilki pay for what he did."
Karate Can,https://www.imdb.com/title/tt5580760/?ref_=sr_t_765,2000,the intersection of the roads of an old bully and a rural family who left their homes due to the earthquake and came to Istanbul from Bolu.
Nuri,https://www.imdb.com/title/tt7986292/?ref_=sr_t_766,2011,"Leyla and Nuri grew up in Izmir Alacati, they fell in love with each other and married when they grew up. They are a happy couple with two kids. Nuri, until we get caught up in the ""Horny Throbbing Disease"" of the most inexplicable male diseases of our day."
Her Sevda Bir Veda,https://www.imdb.com/title/tt8737520/?ref_=sr_t_767,2014,
Adini Kalbime Yazdim,https://www.imdb.com/title/tt3303358/?ref_=sr_t_768,2013–2014,"Ömer, the eldest son of Bozbeyler, a well-established family of Mardin, grew up in Istanbul and established a life for himself. Omer meets Leyla. Leyla and Omer remain in the middle of revenge."
Mükemmel Eslesme,https://www.imdb.com/title/tt20319266/?ref_=sr_t_769,2022,"Kerem and Pinar lead separate lives in Istanbul, focused on careers but their families want them to get married. They are against arranged marriage and do not want to meet."
Koyu Beyaz,https://www.imdb.com/title/tt23322920/?ref_=sr_t_770,2023– ,"The paths of Alper, the son of a socialite family, and Ferhan, who is of Pakistani descent from England, cross in the Turkology department of a university in Thorvingen. Life turns into a journey towards the values that are foreign to them"
İki Aile,https://www.imdb.com/title/tt0834023/?ref_=sr_t_771,2006–2008,Two family start to live together because they both bought same house.
Akinci,https://www.imdb.com/title/tt25728454/?ref_=sr_t_772,2023– ,"It is the story of the great defense of our superhero Akıncı, who defends goodness, order and justice and comes from the Akıncı tradition, against the rooted Chain tradition that feeds evil and chaos."
Melek,https://www.imdb.com/title/tt0446851/?ref_=sr_t_773,2002,"Just when she loses all hope, the expected miracle happens. The fairy who will protect Melek forever appears. After that moment, Melek's life will never be the same."
A.S.K.,https://www.imdb.com/title/tt3142874/?ref_=sr_t_774,2013,"Azra and Kerem is a couple who meets Sebnem, however Sebnem doesn't know they're together. Sebnem has cancer, the doctor said she will die soon. Sebnem is in love with Kerem. Kerem and Azra decides to get Kerem in a relationship with Sebnem."
Melekler Korusun,https://www.imdb.com/title/tt1448226/?ref_=sr_t_775,2009–2010,Girl decides to move to another city to chase her dreams without her mother's knowing.
Bahtiyar Ölmez,https://www.imdb.com/title/tt7748396/?ref_=sr_t_776,2017–2018,Bahtiyar works in his father's cemetery. Bahtiyar's job is a funeral transport vehicle driver. He does not want to do this until the end of his life. He accepts an old friend's offer. He deposits his father's entire accumulation with great hope. He understands that he is defrauded.
Aşk Zamanı,https://www.imdb.com/title/tt4763088/?ref_=sr_t_777,2015,"Orhan, Turkey is one of the few rowdy. When Orhan's wife Guliz died, Orhan would repent of illegal activities. Orhan agrees with his wife's last request and walks away with all the bully except one. He wants to start a peaceful life with five daughters and his family in a town in the Aegean."
Ögrenci Evi,https://www.imdb.com/title/tt13528822/?ref_=sr_t_778,2021,"Four university students from different parts of the country begin to live together and as they go through the hurdles of love and life, they turn into best friends that support each other through thick and thin."
Benim Annem Bir Melek,https://www.imdb.com/title/tt5852602/?ref_=sr_t_779,2008–2010,"House wife Neriman, retired driver Cahit, the eldest son of the house who still works and still lives with his family Metin, the little boy who lives with the family in the opposite apartment Cetin, Cetin's wife Ece, the owner of the place where Cetin works is Hayrunnisa, the eldest son of the house Sami, minibus driver Artiz."
Ankara'nin Dikmeni,https://www.imdb.com/title/tt9357094/?ref_=sr_t_780,2014,"Dikmen is an Ankara artist who plays the baglama. While working in music halls, he gets an offer from a manager from Istanbul. Having argued with his boss, Dikmen accepts the offer and goes to Istanbul. He meets his military friend who is a taxi driver in Istanbul. His friend will accompany him on his Istanbul adventure."
Urfaliyam Ezelden,https://www.imdb.com/title/tt8483530/?ref_=sr_t_781,2014,"Mehmet Bozoglu other 'Yanik Memed'; along with his five sons, are the leaders of the Urfa nights. A family who organizes ""Row Nights"" in Sanliurfa escapes from the blood case and comes to Istanbul."
Bu Kalp Seni Unutur Mu?,https://www.imdb.com/title/tt1570343/?ref_=sr_t_782,2009–2010,What happened under the shadow of the September 12 Military Coup is told through an impossible love story.
Oğlum,https://www.imdb.com/title/tt16452902/?ref_=sr_t_783,2022,Oglum presents sections from the lives of two children with completely different lives. The series will reveal the unconditional innocence of children.
Sahipli,https://www.imdb.com/title/tt6573358/?ref_=sr_t_784,2017,"Two horny lovers of history. And the oddities that shaped around this love. Busra, who decided to return as a pseudo-doctor after years of disaster, takes an irrevocable journey with Selim. The node of the storyline, which is increasing step by step, will still be almost insoluble by better understanding of Selim and Busra."
